jobNumber,jobName,sales,location,region,description,priority,currentStatus,jobNotes,readyForInstall,orderDate,mfgTarget,mfgTargetModified,installTarget,scheduledInstall,dateInstalled,dateToAdmin,vendor,poNumber,vendorStatus,mfgRegion,installRegion,ulSign,value,totalHrsMfg,totalHrsInstall,dip,vinylDueDate,sketchFile,process,isActive,dept_graphics,dept_routingType,dept_metal,dept_assembly,dept_plexApplication,dept_vinyl
J28373,AMERICAN AG CREDIT,DP,Wichita,WK,"Refurb mini directional_East entrance Remove mini pylon directional sign from East entrance landscaping near front door. Bring to shop. Sand, prime and repaint to new brand standards (PMS 370 Green, PMS Cool Gray 11, white). Apply corporate logo and directional information as vinyl graphic . Re-install in same location. Any needed sign permit cost to be added onto final invoice.",,Complete to Admin,,Survey needed,2026-01-19,2026-03-09,2026-04-03,2026-03-15,,2026-04-10,2026-04-16,GREGORY,19424,RECEIVED,WK,WK,False,2402.11,,0.0,140.0,2026-03-19,J28373 American Ag Credit_Refurb NI freestanding directional.pdf,Completed,False,"Hutch,Outsourced",,,done,done,done
J35246,Hutton Salina - ONEOK,DP,Bushton,WK,"ONEOK, INC. - BUSHTON NEW OFFICE FACILITY - HUTTON CONSTRUCTION - ADDITIONAL SIGN EXTERIOR: (INTERNALLY ILLUMINATED WITH PERFORATED DIGITAL PRINT) - 4'-10 5/8"" X 4'-11.25"" BRAND DIAMOND - 2'-8"" X 10'-3 1/4"" ""ONEOK"" - MATCH BRAND STANDARDS ON COLORS - RETURNS AND TRIM CAP TO BE WHITE Installs on Side Elevation",,Complete to Admin,replacement faces ordered from SH,Survey needed,2026-01-26,2026-03-16,,2026-03-22,,2026-05-19,2026-06-04,SIGN HOUSE,19468 / 20058,ORDERED,WK,WK,False,6636.4,0.0,0.0,133.0,,KS.pdf,Completed,False,,,,,,
J34285,Hutton Salina - ONEOK,DP,Bushton,WK,"ONEOK, INC. - BUSHTON NEW OFFICE FACILITY - HUTTON CONSTRUCTION EXTERIOR: (INTERNALLY ILLUMINATED WITH PERFORATED DIGITAL PRINT) - 6'-0"" X 6'-0"" BRAND DIAMOND - 4'-0"" X 12'-6"" ""ONEOK"" - MATCH BRAND STANDARDS ON COLORS - RETURNS AND TRIM CAP TO BE WHITE *Will mount on Front Elevation",,Complete to Admin,,Survey needed,2026-01-26,2026-03-16,,2026-03-22,,2026-04-20,2026-06-04,SIGN HOUSE,19467,RECEIVED,WK,WK,False,8474.9,0.0,0.0,133.0,,KS.pdf,Completed,False,,,,,,
J36085,FIDELITY BANK,CC,Tulsa,WK,"Service the letter N in Bank on north elevation of Utica building Repair the lighting in the letter ""N"" in Bank on the north elevation of building. Send photos of letter all lighting properly to Chuck Carson at ccarson@lumineosigns.com",,Complete to Admin,,Survey needed,2026-02-12,2026-04-02,,2026-04-08,,,,,19562,,Sub,Sub-Installer,False,,0.0,0.0,116.0,,,Service Complete,False,,,,,,
J32411,Community National Bank and Trust,CC,Hutchinson,WK,"Furnish and install two directional signs for Hutchinson branch Furnish and install two, single faced, non-illuminated post and panel type directional signs. Chuck to flag locations for One Call and placement",,Complete to Admin,,Survey needed,2026-02-24,2026-04-14,2026-04-09,2026-04-20,,2026-05-14,2026-05-18,,,,WK,WK,False,6345.58,,0.0,104.0,2026-03-25,J32411 Community National Bank and trust_Directional Signs.pdf,Completed,False,Hutch,,done,,done,done
J36250,MILLER'S OF CLAFLIN,DD,Great Bend,WK,Vinyl Wrap per contract We own customer a vinyl wrap per their contract. Furnish & Install new vinyl wrap. Install on the right side board.,,Complete to Admin,,Survey needed,2026-03-02,2026-04-20,,2026-04-26,,2026-03-27,2026-04-07,INDEPENDENT'S,19684,RECEIVED,WK,WK,False,,0.0,0.0,98.0,,J36250 Millers of Claflin_ 11x24 vinyl wrap.pdf,Completed,False,,,,,,
J34933,CENTRAL NATIONAL BANK,VB,Manhattan,WK,"Central National Bank Manhattan refurbish pole sign including message center option 4 At Central National Bank's 1403 College Ave branch in Manhattan, option 4: 1) check in/out with branch manager Doug Haverkamp 2) survey signs, including the main pylon sign 3) coordinate schedules with the bank, the assistance of a shielded bucket truck and Luminous Neon’s Hutchinson shop 4) remove the logo cabinets to refurbish the logo cabinet and replace the time & temperature with it being gone approximately three weeks 5) provide and install two 3’ x 8’ digitally printed banners with Central National Bank’s logo to be there while the cabinets are gone, take temporary completion photos 6) remove neon and fluorescent components 7) repaint the logo cabinet PMS 288 blue, paint reveals to match limestone 8) remove peeling white vinyl on push-thru letters and overlay new white translucent vinyl 9) provide and install new blue Flexi-Brite LED strips and power supplies for former neon accents 10) remove & scrap existing time & temperature unit 11) provide and install a new 2’5” x 7’3” 8mm full-color Watchfire message center to replace the existing time & temperature, including broadband wireless communications with filler panels painted to match the limestone 12) for the inset ATM cabinets, replace both faces to read ATM • ITM with reverse 3630-157 Sultan blue vinyl, paint retainers/cabinets PMS 288 blue 13) provide and install new white LED Kwik Stiks/LED pods and power supplies in the logo cabinet and ATM cabinets 14) reinstall cabinets and remove banners 15) take completion photos Drawing VB-J34933 NOTES: If needed, primary power by others. Logo cabinet & ATM • ITM cabinets require a separate circuit(s); message center requires 120 volt, 30 amp, single phase service, 15 amps per face, with circuits to be hot 24 hours a day.",,Complete to Admin,,Survey needed,2026-03-05,2026-04-23,2026-05-15,2026-04-29,,2026-05-18,2026-05-22,,,,WK,NEK,False,75805.0,,0.0,95.0,2026-04-30,J34933 CNB_Monument Sign.pdf,Completed,False,Hutch,,done,done,done,done
J36314,KS STATEBANK,DW,Manhattan,WK,Poynts Trim Cap Face Replacement Remove and discard faces from existing channel letter set. Fabricate and install new trim cap faces with perforated vinyl graphics. Survey required.,RED DATE,Complete to Admin,Check LEDs,Survey needed,2026-03-11,2026-04-29,2026-05-28,2026-05-05,,2026-05-29,2026-06-04,,,,WK,WK,False,3677.03,,0.0,89.0,2026-05-13,J36314 KS State Bank_Face Replacement (1).pdf,Completed,False,Outsourced,,,in_progress,in_progress,
J36416,HUTCHINSON REGIONAL MED.CENTER,AS,Arlington,WK,"FCO letters on rails Furnish and install (1) set of non-illuminated FCOs on a rail system, FCOs on rails to consist of letters ""Reno County EMS” at the top and HRMC logo element with EMS logo in the middle, FCOs to be 1/2” thick and painted white Install centered in space between door and window. Bottom of logo to be 7' AGL (height of the top of the door).",,Complete to Admin,"need to paint rails to match blue, AS has color details",Survey needed,2026-03-12,2026-04-30,2026-05-30,2026-05-06,,2026-06-01,2026-06-04,GEMINI,19802,RECEIVED,WK,WK,False,5664.09,,0.0,88.0,2026-05-15,J36416 Reno Co. EMC (Arlington).pdf,Completed,False,,,,done,,
J25219,CENTRAL NATIONAL BANK,VB,Manhattan,WK,"Central National Bank Manhattan (College) replace ATM letters with lighted cabinet At Central National Bank's College Ave branch in Manhattan: 1) remove & scrap existing ATM letters 2) provide and install a new 18"" x 6' single-sided ATM • ITM cabinet, with white LED illumination, painted PMS 288 blue with reverse 3630-157 Sultan blue vinyl graphics 3) take completion photos Drawing VB-J25219",,Complete to Admin,,Survey needed,2026-03-19,2026-05-07,,2026-05-13,,2026-05-18,2026-05-22,,,,WK,NEK,False,3800.0,,0.0,81.0,,J25219 CNB_Building Sign.pdf,Completed,False,Lawrence,,done,done,,
J35594,Cooper Tire,AS,Hutchinson,WK,NC - Asphalt repair after install NC - Asphalt repair area around base pole after recent install Schedule when weather is appropriate.,,Complete to Admin,,Survey needed,2026-03-19,2026-05-07,,2026-05-13,,2026-06-03,2026-06-04,,,,WK,WK,False,,0.0,0.0,81.0,,,Completed,False,,,,,,
J34578,CRE Development Strategies - Jimmy's Egg,CC,Wichita,WK,"Replace Eggman Trim Capped Face Central and Tyler Furnish, labor, materials and equipment to install a new trim capped, acrylic face for the Eggman logo. New face covered with a digitally printed vinyl graphic. Face to be secured with new black trim cap. Please schedule survey as soon as possible so we can determine exact size of trim cap face. Once size is determined, we can get a properly scaled logo sketch created.",,Complete to Admin,Pattern for replacement,Survey needed,2026-03-24,2026-05-12,2026-06-04,2026-05-18,,2026-06-05,2026-06-08,GREGORY,20017,RECEIVED,WK,WK,False,1267.4,,0.0,76.0,2026-05-20,Storefront.jpg,In Process,True,Outsourced,,,done,done,
J35663,Leiker Smiles Dental,DP,Hays,WK,"SF II Flex Face Cabinet Furnish and install (1) single face internally illuminated full bleed flex face cabinet. Cabinet have rounded contour shaped corners. Cabinet to be painted black. Flex face to have customer logo. Pantone Green 5535, and Pantone Pink 702.",RED DATE,Complete to Admin,,Survey needed,2026-03-24,2026-05-12,2026-05-26,2026-05-18,,2026-05-27,2026-06-01,excellart,19935,RECEIVED,WK,WK,False,10639.27,,0.0,76.0,2026-05-11,J35663 Leiker Smiles Dental_SF II flex face.pdf,Completed,False,Outsourced,,done,done,,
J35225,Leiker Smiles Dental,DP,Hays,WK,"New Plex Replacement Faces & Refurb Remove existing sign, move to Lumineo Plant. Sand and repaint all finishes with Pantone Green 5535. Furnish and install LED lighting in cabinet. Furnish and install 3'h x 9'w (2) white plex faces with digitally printed applied vinyl graphics. Copy to be ""Leiker SMILES"". Pantone Green 5535, and Pantone Pink 702. Reinstall at same location. ** Not included in proposal is primary electrical service to display and final electrical connection. ** No permit required (Face change)",RED DATE,Complete to Admin,,Survey needed,2026-03-24,2026-05-12,2026-05-26,2026-05-18,,2026-05-29,2026-06-01,MIRATEC,20003,RECEIVED,WK,WK,False,5973.39,,0.0,76.0,2026-05-11,J35225 Leiker Smiles Dental_Replacement faces.pdf,Completed,False,Outsourced,,,done,done,done
J34579,CRE Development Strategies - Jimmy's Egg,CC,Wichita,WK,"Replace the eggman logo at the N Webb location Furnish, labor, materials and equipment to install a new trim capped, acrylic face for the Eggman logo at the N Webb location. New face covered with a digitally printed vinyl graphic. Face to be secured with new black trim cap. Please schedule survey as soon as possible so we can determine exact size of trim cap face. Once size is determined, we can get a properly scaled logo sketch created.",,Complete to Admin,Pattern for replacement,Survey needed,2026-03-24,2026-05-12,2026-06-04,2026-05-18,,2026-06-05,2026-06-08,GREGORY,20017,RECEIVED,WK,WK,False,1767.06,,0.0,76.0,2026-05-20,Eggman Logo.jpeg,In Process,True,Outsourced,,,done,done,
J36617,Leiker Smiles Dental,DP,Hays,WK,"New Monument Sign Rev. 1 Remove and dispose of current poles. Furnish and install (1) new 8'h x 6'w x 2'd double face internally illuminated monument sign. ID header will be (2) irregular shaped cabinets mounted back-to-back. ID Cabinet to have full bleed white flex faces, cabinet painted white. 3"" reveal to be painted metallic silver. Pole cover to be painted green with white cut vinyl with ""COMPREHENSIVE DENTISTRY"" copy. Colors to be white, metallic silver, Pantone Green 5535, and Pantone Pink 702. ** Not included in proposal is primary electrical service to display and final electrical connection. Cost of permits to be added to final invoice.",RED DATE,Complete to Admin,,Survey needed,2026-03-24,2026-05-12,2026-05-26,2026-05-18,,2026-05-27,2026-06-01,excellart,19896,RECEIVED,WK,WK,False,20922.22,,0.0,76.0,2026-05-11,J36617 Leiker SMiles Dental_New Monument Sign.pdf,Completed,False,Hutch,Routing Complete,done,done,done,done
J36426,Junction City High School,DP,Junction City,NEK,"Install Panels and FCO Letters on Monument Sign Remove (2) damaged fiberglass panels and ""HOOL"" FCO letters on monument entrance sign. Dispose of damaged panels. Install (2) new fiberglass panels (provided by customer) and ""HOOL"" FCO letters at same location. Will need to use removed panels to pattern for drill holes in replacement panels.",,Complete to Admin,pattern ready to run,Survey needed,2026-03-24,2026-05-12,,2026-05-18,,2026-05-07,2026-06-02,,,,WK,WK,False,1907.5,0.0,0.0,76.0,,IMG_0212.jpeg,Complete Need Paperwork,False,,,,,,
J36428,Maize USD 266,TC,Maize,WK,"New Wall ADAs - Maize USD 266 Furnish and install two (2) 8"" (H) x 8"" (W) replacement ADA wall signs, reading ""OFFICIALS LOCKER ROOM"". Sign to feature 1/32"" raised white copy, in 3/4"" (H) Century Gothic font. Reference design TC-J36428.",,Complete to Admin,,Survey needed,2026-03-25,2026-05-13,,2026-05-19,,2026-05-27,2026-06-08,bg automation,19854,RECEIVED,WK,WK,False,747.32,0.0,0.0,75.0,,J36428 MAIZE USD 266.pdf,In Process,True,,,,,,
J36429,Maize USD 266,TC,Maize,WK,"New Flag Signs - Maize USD 266 Furnish and install two (2) 10"" (H) x 12"" (W) replacement flag sign inserts, reading ""OFFICIALS LOCKER ROOM"". Sign to feature 1/32"" raised white copy, in 1-1/2"" (H) Century Gothic font. Install replacements into existing brackets. Reference design TC-J36429.",,Complete to Admin,,Survey needed,2026-03-26,2026-05-14,,2026-05-20,,2026-05-27,2026-06-08,bg automation,19853,RECEIVED,WK,WK,False,864.42,0.0,0.0,74.0,,J36429 MAIZE USD 266.pdf,In Process,True,,,,,,
J33732,Wichita Childrens Home,CC,Wichita,WK,"Replace a variety of interior room signs Furnish and install replacement room signs in Sarah Robinson Hall. Reference design CC-J33732. If approved, please provide information on where the ICON plaque will need to be installed. Pricing breaks out as follows: 1 Icon sign $173.38 1 Gymnasium sign $120.77 Signs inside Sarah Robinson Hall (rest of signs) $1303.42 Chuck to install when all signs are ready to go.",,Complete to Admin,Chuck to install,Survey needed,2026-04-01,2026-05-20,,2026-05-26,,2026-06-04,2026-06-08,bg automation,19911,RECEIVED,WK,WK,False,1597.57,0.0,0.0,68.0,,J33732 Wichita Childrens Home_Replacement int signs.pdf,In Process,True,,,,,,
J36776,HUTCHINSON REGIONAL MED.CENTER,AS,Hutchinson,WK,"New window front perf graphics Remove recently installed vinyl swooshes and top of door part, leave other graphics there. Furnish and install digitally printed perforated window and door graphics on front entrance and windows of swishes and top of doors.",,Complete to Admin,,Survey needed,2026-04-02,2026-05-21,2026-05-22,2026-05-27,,2026-05-22,2026-05-28,GREGORY,19952,RECEIVED,WK,WK,False,1203.24,,0.0,67.0,2026-05-07,document - 2026-04-02T131458.784.pdf,Completed,False,Outsourced,,,,,done
J36876,CENTRAL NATIONAL BANK,VB,Halstead,WK,"Central National Bank Halstead refurbish two directional signs At Central National Bank, Halstead, two directional signs are faded with peeling vinyl: 1) check in/out with manager on duty 2) repaint posts and frames PMS 288 blue 3) for larger directional sign, provide and install two overlay 36-1/16” x 40-1/8” aluminum panels painted PMS 288 blue with reflective white vinyl graphics for DRIVE-THRU and 24 HOUR ATM (with arrows) 4) for smaller directional sign, provide and install two overlay 24-1/16” x 40-1/8” aluminum panels with reflective white vinyl graphics for EXIT ONLY 5) take completion photos Drawing VB-J36876",,Complete to Admin,,Survey needed,2026-04-03,2026-05-22,2026-05-22,2026-05-28,,2026-06-03,2026-06-04,,,,WK,WK,False,3110.0,,0.0,66.0,2026-05-07,J36876 CNB_Directionals.pdf,Completed,False,Hutch,,,,done,done
J36228,First Security Bank,DW,Conway Springs,WK,Conway Springs Building Sign Option 1 Remove and discard routed sign cabinet. Fabricate and install 1 set of LED illuminated raceway mounted channel letters and logo cabinet. COLOR OF RACEWAYS TBD. SURVEY NEEDED FOR COLOR.,,Complete to Admin,,Survey needed,2026-04-06,2026-05-25,,2026-05-31,,2026-05-29,2026-06-01,AI Innovations,20001,RECEIVED,WK,WK,False,8965.4,0.0,0.0,63.0,,J36228 NEW First Security Bank_Building Sign.pdf,Completed,False,,,,,,
J36734,First Security Bank,DW,Wichita,WK,"Wichita Pylon Option 3 Remove and discard existing double face sign cabinet. Fabricate and install new double face LED illuminated sign cabinet with cap, reveal, and digitally printed flexible faces. Cap and reveal to be painted to match existing pole cover.",,Complete to Admin,,Survey needed,2026-04-07,2026-05-26,2026-05-27,2026-06-01,,2026-05-29,2026-06-01,MIRATEC,20157,RECEIVED,WK,WK,False,32989.5,,0.0,62.0,2026-05-12,J36734 First Security Bank_Pylon Sign.pdf,Completed,False,,,done,done,,
J36702,CENTRAL NATIONAL BANK,VB,Great Bend,WK,"Central National Bank Great Bend new location entrance & drive-thru graphics At Central National Bank’s new location in Great Bend: 1) if still there, remove the previous business’ hours graphics on entrance and drive-thru window 2) provide and install new white vinyl graphics for the Central National Bank logo and hours on the entrance door glass 3) provide and install new hours vinyl graphics on left drive-thru window 4) take completion photos Drawing VB-J36702",,Complete to Admin,,Survey needed,2026-04-13,2026-06-01,2026-05-29,2026-06-07,,2026-05-30,2026-06-04,,,,WK,WK,False,425.0,,0.0,56.0,2026-05-14,J36702 Central National Bank_Vinyl Graphics.pdf,Completed,False,Hutch,,,,,done
J36703,CENTRAL NATIONAL BANK,VB,Great Bend,WK,Central National Bank Great Bend new location update small entrance hours pan sign At Central National Bank’s new location in Great Bend: 1) remove the existing pan sign with vinyl hours 2) repaint pan sign PMS 288 blue 3) provide and install new white vinyl graphics for hours 4) reinstall pan sign 5) take completion photos Drawing VB-J36703,,Complete to Admin,,Survey needed,2026-04-13,2026-06-01,,2026-06-07,,2026-05-30,2026-06-04,,,,WK,WK,False,969.0,,0.0,56.0,,J36703 Central National Bank_Pan Sign.pdf,Completed,False,Hutch,,done,,done,done
