lni_name,lni_current_status,lni_process,lni_priority,lni_region,lni_sales,lni_location,lni_description,lni_job_notes,lni_ready_for_install,lni_order_date,lni_mfg_target_modified,lni_scheduled_install,lni_date_installed,lni_date_to_admin,lni_vendor,lni_po_number,lni_vendor_status,lni_mfg_region,lni_install_region,lni_value,lni_ul_sign,lni_graphics,lni_routing_type,lni_metal,lni_assembly,lni_plex_application,lni_vinyl_prod
J32271 / EQUITY BANK,Complete to Admin,Completed,,WK,DW,Great Bend,Great Bend Inwall Surround Fabricate and install 1 painted aluminum pan sign surround to existing inwall ITM unit.,,Survey needed,2025-09-26,2026-04-10,,2026-04-14,2026-04-16,,,,WK,WK,2752.46,No,"Hutch,Outsourced",Routing Complete,X,,X,X
J33515 / MERITRUST CREDIT UNION,Complete to Admin,Completed,RED DATE,WK,CC,Wichita,"Populate the ""eritrust"" letters on the west and south elevations of Meritrust corporate building Furnish labor and materials to add additional LEDs to the ""eritrust"" channel letters for the south and west elevation of the corporate building while staging is set up. New LEDs to be grouped to a new secondary whip into the building for future use when/if required.",April 15,Survey needed,2025-09-29,2025-11-17,,2026-04-24,2026-04-28,,,,WK,WK,7662.87,No,,,,,,
J33783 / SOUTHWEST LIVESTOCK AUCTION LLC,Complete to Admin,Completed,,WK,NH,Dodge City,"interior ACM panels INTERIOR SIGN PANELS: Furnish and install (5) aluminum composite sign panels of various sizes (pre-painted black, applied white/red/orange vinyl graphics). Remove and dispose of the existing sign panels. Mount the new panels as shown. **Two main signs include decorative stainless steel caps/2"" spacers, one secondary sign includes 2"" spacers with standard painted black fasteners, and the other two mount flush, with standard painted black fasteners. *CUSTOMER TO PAINT THE WALLS PRIOR TO OUR INSTALLATIONS.",,Survey needed,2025-10-20,2025-11-04,,2026-05-18,2026-05-26,MBS Stand-offs,cc,SHIPPING,WK,WK,2670.58,No,Hutch,,,,X,X
J34723 / HUTCHINSON REGIONAL MED.CENTER,Complete to Admin,Service Complete,,WK,AS,Hutchinson,"T/M: H not lighting well T/M: Customer reports H is still having issues, please diagnose and fix so it matches the remaining of the letters.",Close out order,Survey needed,2025-11-13,2026-01-01,,,2026-05-27,,,,WK,WK,,No,,,,,,
J34145 / MERITRUST CREDIT UNION,Complete to Admin,Complete Need Paperwork,,WK,CC,"Longmont, CO",Remove wall signs for Longmont Main St Branch Remove and dispose of the wall sign over entrance and the one on the south elevation. Seal holes and cap electrical service. The ATM cabinet over the entrance will remain in place.,Order in Adam's office,Survey needed,2025-12-03,2026-01-21,,,2026-06-04,,,,Sub,Sub-Installer,1899.72,No,,,,,,
J35200 / EQUITY BANK,Complete to Admin,Completed,,WK,DW,Pittsburg,Pittsburg Sign Overlay No Charge Fabricate and install (1) 39 1/8” x 39 1/8” aluminum overlay painted black and installed on existing pan sign face currently in Hutchinson shop. Reinstall face at Equity Pittsburg location.,,Survey needed,2025-12-18,2026-02-05,,2026-03-18,2026-03-23,GREGORY,19259,RECEIVED,WK,WK,,No,Hutch,,X,,X,
J34835 / Iron Insurance Partners,Complete to Admin,Completed,,WK,DP,Scott City,"Furnish and install (1) 3' x 2'  x 2"" non illuminated pan sign. Sign to have white face and returns  Furnish and install (1) 3' x 2'  x 2"" non illuminated pan sign. Sign to have white face and returns with applied customer graphic. Sign will install area to the left of the door at front entrance.  Furnish and install (1) set of white window vinyl of customer logo, address and hours.",,Survey needed,2025-12-19,2026-02-06,,2026-03-12,2026-03-23,GREGORY,19266,RECEIVED,WK,WK,2103.45,No,"Hutch,Outsourced",,X,,X,X
J34897 / Iron Insurance Partners,Complete to Admin,Completed,,WK,DP,Scott City,N/I pan wall sign - Side elevation Furnish and install (1) 4' x 10' non-illuminated aluminum pan wall sign. Sign to be painted white with applied graphics. Sign will install area in upper NE corner/side elevation.,,Survey needed,2025-12-19,2026-02-06,,2026-03-12,2026-04-24,GREGORY,19266,RECEIVED,WK,WK,3044.54,No,Hutch,,X,,X,X
J28373 / AMERICAN AG CREDIT,Complete to Admin,Completed,,WK,DP,Wichita,"Refurb mini directional_East entrance Remove mini pylon directional sign from East entrance landscaping near front door.  Bring to shop.  Sand, prime and repaint to new brand standards (PMS 370 Green, PMS Cool Gray 11, white).  Apply corporate logo and directional information as vinyl graphic .  Re-install in same location.  Any needed sign permit cost to be added onto final invoice.",,Survey needed,2026-01-19,2026-04-03,,2026-04-10,2026-04-16,GREGORY,19424,RECEIVED,WK,WK,2402.11,No,"Hutch,Outsourced",,,X,X,X
J35246 / Hutton Salina - ONEOK,Complete to Admin,Completed,,WK,DP,Bushton,"ONEOK, INC. - BUSHTON NEW OFFICE FACILITY - HUTTON CONSTRUCTION - ADDITIONAL SIGN EXTERIOR: (INTERNALLY ILLUMINATED WITH PERFORATED DIGITAL PRINT) - 4'-10 5/8"" X 4'-11.25"" BRAND DIAMOND - 2'-8"" X 10'-3 1/4"" ""ONEOK""  - MATCH BRAND STANDARDS ON COLORS - RETURNS AND TRIM CAP TO BE WHITE Installs on Side Elevation",replacement faces ordered from SH,Survey needed,2026-01-26,2026-03-16,,2026-05-19,2026-06-04,SIGN HOUSE,19468 / 20058,ORDERED,WK,WK,6636.4,No,,,,,,
J34285 / Hutton Salina - ONEOK,Complete to Admin,Completed,,WK,DP,Bushton,"ONEOK, INC. - BUSHTON NEW OFFICE FACILITY - HUTTON CONSTRUCTION EXTERIOR: (INTERNALLY ILLUMINATED WITH PERFORATED DIGITAL PRINT) - 6'-0"" X 6'-0"" BRAND DIAMOND - 4'-0"" X 12'-6"" ""ONEOK""  - MATCH BRAND STANDARDS ON COLORS - RETURNS AND TRIM CAP TO BE WHITE *Will mount on Front Elevation",,Survey needed,2026-01-26,2026-03-16,,2026-04-20,2026-06-04,SIGN HOUSE,19467,RECEIVED,WK,WK,8474.9,No,,,,,,
J36085 / FIDELITY BANK,Complete to Admin,Service Complete,,WK,CC,Tulsa,"Service the letter N in Bank on north elevation of Utica building Repair the lighting in the letter ""N"" in Bank on the north elevation of building. Send photos of letter all lighting properly to Chuck Carson at ccarson@lumineosigns.com",,Survey needed,2026-02-12,2026-04-02,,,,,19562,,Sub,Sub-Installer,,No,,,,,,
J32411 / Community National Bank and Trust,Complete to Admin,Completed,,WK,CC,Hutchinson,"Furnish and install two directional signs for Hutchinson branch Furnish and install two, single faced, non-illuminated post and panel type directional signs. Chuck to flag locations for One Call and placement",,Survey needed,2026-02-24,2026-04-09,,2026-05-14,2026-05-18,,,,WK,WK,6345.58,No,Hutch,,X,,X,X
J36250 / MILLER'S OF CLAFLIN,Complete to Admin,Completed,,WK,DD,Great Bend,Vinyl Wrap per contract We own customer a vinyl wrap per their contract. Furnish & Install new vinyl wrap. Install on the right side board.,,Survey needed,2026-03-02,2026-04-20,,2026-03-27,2026-04-07,INDEPENDENT'S,19684,RECEIVED,WK,WK,,No,,,,,,
J34933 / CENTRAL NATIONAL BANK,Complete to Admin,Completed,,WK,VB,Manhattan,"Central National Bank Manhattan refurbish pole sign including message center option 4 At Central National Bank's 1403 College Ave branch in Manhattan, option 4: 1) check in/out with branch manager Doug Haverkamp 2) survey signs, including the main pylon sign 3) coordinate schedules with the bank, the assistance of a shielded bucket truck and Luminous Neon’s Hutchinson shop 4) remove the logo cabinets to refurbish the logo cabinet and replace the time & temperature with it being gone approximately three weeks 5) provide and install two 3’ x 8’ digitally printed banners with Central National Bank’s logo to be there while the cabinets are gone, take temporary completion photos 6) remove neon and fluorescent components 7) repaint the logo cabinet PMS 288 blue, paint reveals to match limestone 8) remove peeling white vinyl on push-thru letters and overlay new white translucent vinyl 9) provide and install new blue Flexi-Brite LED strips and power supplies for former neon accents 10) remove & scrap existing time & temperature unit 11) provide and install a new 2’5” x 7’3” 8mm full-color Watchfire message center to replace the existing time & temperature, including broadband wireless communications with filler panels painted to match the limestone 12) for the inset ATM cabinets, replace both faces to read ATM • ITM with reverse 3630-157 Sultan blue vinyl, paint retainers/cabinets PMS 288 blue 13) provide and install new white LED Kwik Stiks/LED pods and power supplies in the logo cabinet and ATM cabinets 14) reinstall cabinets and remove banners 15) take completion photos Drawing VB-J34933 NOTES:  If needed, primary power by others.  Logo cabinet & ATM • ITM cabinets require a separate circuit(s); message center requires 120 volt, 30 amp, single phase service, 15 amps per face, with circuits to be hot 24 hours a day.",,Survey needed,2026-03-05,2026-05-15,,2026-05-18,2026-05-22,,,,WK,NEK,75805,No,Hutch,,X,X,X,X
J36314 / KS STATEBANK,Complete to Admin,Completed,RED DATE,WK,DW,Manhattan,Poynts Trim Cap Face Replacement  Remove and discard faces from existing channel letter set. Fabricate and install new trim cap faces with perforated vinyl graphics. Survey required.,Check LEDs,Survey needed,2026-03-11,2026-05-28,,2026-05-29,2026-06-04,,,,WK,WK,3677.03,No,Outsourced,,,/,/,
J36416 / HUTCHINSON REGIONAL MED.CENTER,Complete to Admin,Completed,,WK,AS,Arlington,"FCO letters on rails Furnish and install (1) set of non-illuminated FCOs on a rail system, FCOs on rails to consist of  letters ""Reno County EMS” at the top and HRMC logo element with EMS logo in the middle, FCOs to be 1/2” thick and painted white Install centered in space between door and window.  Bottom of logo to be 7' AGL (height of  the top of the door).","need to paint rails to match blue, AS has color details",Survey needed,2026-03-12,2026-05-30,,2026-06-01,2026-06-04,GEMINI,19802,RECEIVED,WK,WK,5664.09,No,,,,X,,
J25219 / CENTRAL NATIONAL BANK,Complete to Admin,Completed,,WK,VB,Manhattan,"Central National Bank Manhattan (College) replace ATM letters with lighted cabinet At Central National Bank's College Ave branch in Manhattan: 1) remove & scrap existing ATM letters  2) provide and install a new 18"" x 6' single-sided ATM • ITM cabinet, with white LED illumination, painted PMS 288 blue with reverse 3630-157 Sultan blue vinyl graphics 3) take completion photos Drawing VB-J25219",,Survey needed,2026-03-19,2026-05-07,,2026-05-18,2026-05-22,,,,WK,NEK,3800,No,Lawrence,,X,X,,
J35594 / Cooper Tire,Complete to Admin,Completed,,WK,AS,Hutchinson,NC - Asphalt repair after install NC - Asphalt repair area around base pole after recent install Schedule when weather is appropriate.,,Survey needed,2026-03-19,2026-05-07,,2026-06-03,2026-06-04,,,,WK,WK,,No,,,,,,
J34578 / CRE Development Strategies - Jimmy's Egg,Complete to Admin,In Process,,WK,CC,Wichita,"Replace Eggman Trim Capped Face Central and Tyler Furnish, labor, materials and equipment to install a new trim capped, acrylic face for the Eggman logo. New face covered with a digitally printed vinyl graphic. Face to be secured with new black trim cap.  Please schedule survey as soon as possible so we can determine exact size of trim cap face. Once size is determined, we can get a properly scaled logo sketch created.",Pattern for replacement,Survey needed,2026-03-24,2026-06-04,,2026-06-05,2026-06-08,GREGORY,20017,RECEIVED,WK,WK,1267.4,No,Outsourced,,,X,X,
J35663 / Leiker Smiles Dental,Complete to Admin,Completed,RED DATE,WK,DP,Hays,"SF II Flex Face Cabinet Furnish and install (1) single face internally illuminated full bleed flex face cabinet. Cabinet have rounded contour shaped corners. Cabinet to be painted black. Flex face to have customer logo. Pantone Green 5535, and Pantone Pink 702.",,Survey needed,2026-03-24,2026-05-26,,2026-05-27,2026-06-01,excellart,19935,RECEIVED,WK,WK,10639.27,No,Outsourced,,X,X,,
J35225 / Leiker Smiles Dental,Complete to Admin,Completed,RED DATE,WK,DP,Hays,"New Plex Replacement Faces & Refurb Remove existing sign, move to Lumineo Plant. Sand and repaint all finishes with Pantone Green 5535. Furnish and install LED lighting in cabinet. Furnish and install 3'h x 9'w (2) white plex faces with digitally printed applied vinyl graphics. Copy to be ""Leiker SMILES"". Pantone Green 5535, and Pantone Pink 702. Reinstall at same location.  ** Not included in proposal is primary electrical service to display and final electrical connection.  ** No permit required (Face change)",,Survey needed,2026-03-24,2026-05-26,,2026-05-29,2026-06-01,MIRATEC,20003,RECEIVED,WK,WK,5973.39,No,Outsourced,,,X,X,X
J34579 / CRE Development Strategies - Jimmy's Egg,Complete to Admin,In Process,,WK,CC,Wichita,"Replace the eggman logo at the N Webb location Furnish, labor, materials and equipment to install a new trim capped, acrylic face for the Eggman logo at the N Webb location. New face covered with a digitally printed vinyl graphic. Face to be secured with new black trim cap. Please schedule survey as soon as possible so we can determine exact size of trim cap face. Once size is determined, we can get a properly scaled logo sketch created.",Pattern for replacement,Survey needed,2026-03-24,2026-06-04,,2026-06-05,2026-06-08,GREGORY,20017,RECEIVED,WK,WK,1767.06,No,Outsourced,,,X,X,
J36617 / Leiker Smiles Dental,Complete to Admin,Completed,RED DATE,WK,DP,Hays,"New Monument Sign Rev. 1 Remove and dispose of current poles. Furnish and install (1) new 8'h x 6'w x 2'd double face internally illuminated monument sign. ID header will be (2) irregular shaped cabinets mounted back-to-back. ID Cabinet to have full bleed white flex faces, cabinet painted white. 3"" reveal to be painted metallic silver. Pole cover to be painted green with white cut vinyl with ""COMPREHENSIVE DENTISTRY"" copy. Colors to be white, metallic silver, Pantone Green 5535, and Pantone Pink 702.  ** Not included in proposal is primary electrical service to display and final electrical connection. Cost of permits to be added to final invoice.",,Survey needed,2026-03-24,2026-05-26,,2026-05-27,2026-06-01,excellart,19896,RECEIVED,WK,WK,20922.22,No,Hutch,Routing Complete,X,X,X,X
J36426 / Junction City High School,Complete to Admin,Complete Need Paperwork,,NEK,DP,Junction City,"Install Panels and FCO Letters on Monument Sign Remove (2) damaged fiberglass panels and ""HOOL"" FCO letters on monument entrance sign. Dispose of damaged panels. Install (2) new fiberglass panels (provided by customer) and ""HOOL"" FCO letters at same location.   Will need to use removed panels to pattern for drill holes in replacement panels.",pattern ready to run,Survey needed,2026-03-24,2026-05-12,,2026-05-07,2026-06-02,,,,WK,WK,1907.5,No,,,,,,
J36428 / Maize USD 266,Complete to Admin,In Process,,WK,TC,Maize,"New Wall ADAs - Maize USD 266 Furnish and install two (2) 8"" (H) x 8"" (W) replacement ADA wall signs, reading ""OFFICIALS LOCKER ROOM"". Sign to feature 1/32"" raised white copy, in 3/4"" (H) Century Gothic font. Reference design TC-J36428.",,Survey needed,2026-03-25,2026-05-13,,2026-05-27,2026-06-08,bg automation,19854,RECEIVED,WK,WK,747.32,No,,,,,,
J36429 / Maize USD 266,Complete to Admin,In Process,,WK,TC,Maize,"New Flag Signs - Maize USD 266 Furnish and install two (2) 10"" (H) x 12"" (W) replacement flag sign inserts, reading ""OFFICIALS LOCKER ROOM"". Sign to feature 1/32"" raised white copy, in 1-1/2"" (H) Century Gothic font. Install replacements into existing brackets. Reference design TC-J36429.",,Survey needed,2026-03-26,2026-05-14,,2026-05-27,2026-06-08,bg automation,19853,RECEIVED,WK,WK,864.42,No,,,,,,
J33732 / Wichita Childrens Home,Complete to Admin,In Process,,WK,CC,Wichita,"Replace a variety of interior room signs Furnish and install replacement room signs in Sarah Robinson Hall. Reference design CC-J33732. If approved, please provide information on where the ICON plaque will need to be installed. Pricing breaks out as follows:  1 Icon sign $173.38 1 Gymnasium sign $120.77 Signs inside Sarah Robinson Hall (rest of signs) $1303.42 Chuck to install when all signs are ready to go.",Chuck to install,Survey needed,2026-04-01,2026-05-20,,2026-06-04,2026-06-08,bg automation,19911,RECEIVED,WK,WK,1597.57,No,,,,,,
J36776 / HUTCHINSON REGIONAL MED.CENTER,Complete to Admin,Completed,,WK,AS,Hutchinson,"New window front perf graphics Remove recently installed vinyl swooshes and top of door part, leave other graphics there.  Furnish and install digitally printed perforated window and door graphics on front entrance and windows of swishes and top of doors.",,Survey needed,2026-04-02,2026-05-22,,2026-05-22,2026-05-28,GREGORY,19952,RECEIVED,WK,WK,1203.24,No,Outsourced,,,,,X
J36876 / CENTRAL NATIONAL BANK,Complete to Admin,Completed,,WK,VB,Halstead,"Central National Bank Halstead refurbish two directional signs At Central National Bank, Halstead, two directional signs are faded with peeling vinyl: 1) check in/out with manager on duty 2) repaint posts and frames PMS 288 blue 3) for larger directional sign, provide and install two overlay 36-1/16” x 40-1/8” aluminum panels painted PMS 288 blue with reflective white vinyl graphics for DRIVE-THRU and 24 HOUR ATM (with arrows) 4) for smaller directional sign, provide and install two overlay 24-1/16” x 40-1/8” aluminum panels with reflective white vinyl graphics for EXIT ONLY 5) take completion photos Drawing VB-J36876",,Survey needed,2026-04-03,2026-05-22,,2026-06-03,2026-06-04,,,,WK,WK,3110,No,Hutch,,,,X,X
J36228 / First Security Bank,Complete to Admin,Completed,,WK,DW,Conway Springs,Conway Springs Building Sign Option 1 Remove and discard routed sign cabinet. Fabricate and install 1 set of LED illuminated raceway mounted channel letters and logo cabinet. COLOR OF RACEWAYS TBD. SURVEY NEEDED FOR COLOR.,,Survey needed,2026-04-06,2026-05-25,,2026-05-29,2026-06-01,AI Innovations,20001,RECEIVED,WK,WK,8965.4,No,,,,,,
J36734 / First Security Bank,Complete to Admin,Completed,,WK,DW,Wichita,"Wichita Pylon Option 3 Remove and discard existing double face sign cabinet. Fabricate and install new double face LED illuminated sign cabinet with cap, reveal, and digitally printed flexible faces.  Cap and reveal to be painted to match existing pole cover.",,Survey needed,2026-04-07,2026-05-27,,2026-05-29,2026-06-01,MIRATEC,20157,RECEIVED,WK,WK,32989.5,No,,,X,X,,
J36702 / CENTRAL NATIONAL BANK,Complete to Admin,Completed,,WK,VB,Great Bend,"Central National Bank Great Bend new location entrance & drive-thru graphics At Central National Bank’s new location in Great Bend: 1) if still there, remove the previous business’ hours graphics on entrance and drive-thru window 2) provide and install new white vinyl graphics for the Central National Bank logo and hours on the entrance door glass 3) provide and install new hours vinyl graphics on left drive-thru window 4) take completion photos Drawing VB-J36702",,Survey needed,2026-04-13,2026-05-29,,2026-05-30,2026-06-04,,,,WK,WK,425,No,Hutch,,,,,X
J36703 / CENTRAL NATIONAL BANK,Complete to Admin,Completed,,WK,VB,Great Bend,Central National Bank Great Bend new location update small entrance hours pan sign At Central National Bank’s new location in Great Bend: 1) remove the existing pan sign with vinyl hours 2) repaint pan sign PMS 288 blue  3) provide and install new white vinyl graphics for hours  4) reinstall pan sign  5) take completion photos Drawing VB-J36703,,Survey needed,2026-04-13,2026-06-01,,2026-05-30,2026-06-04,,,,WK,WK,969,No,Hutch,,X,,X,X
J36853 / Penguin Group LLC dba Super Subs,Complete to Admin,Completed,,WK,DP,South Hutchinson,"Plex Face with Digitally Printed Graphics Furnish (1) 3'h x 10'w plex face for landlord provided cabinet with applied digitally printed applied vinyl graphics. Face to be installed in cabinet at Lumineo Plant before installation of cabinet at location. This face installs in cabinet that landlord (Vee, LLC) produced on J36975.",,Survey needed,2026-04-13,2026-06-01,,2026-05-08,2026-06-04,MIRATEC,20020,RECEIVED,WK,WK,1402.31,No,Outsourced,,,,X,
J31228 / Iron Insurance Partners,Complete to Admin,Completed,RED DATE,WK,DP,South Hutchinson,"Aluminum Pan Sign with applied graphic Remove and dispose of current letters on building. Furnish and install 3' X 20' aluminum pan sign with applied graphic. Pan sign and returns to be painted white. Fonts: Brand logo, Montserrat Regular, Montserrat Bold Charcoal: Pantone 6 (RGB 55/60/63), Solid Gold: Pantone 126 (145/128/98).  City permits to be billed at cost on final invoice. Pricing Contingent upon access/survey etc.",,Survey needed,2026-04-14,2026-05-29,,2026-06-01,2026-06-04,GREGORY,20028,RECEIVED,WK,WK,4616.1,No,Outsourced,,X,,X,
J31226 / Iron Insurance Partners,Complete to Admin,In Process,,WK,DP,South Hutchinson,Updated Plex Faces on Monument Sign Survey needed. Furnish and install (2) new white plex faces with applied graphic of new logo and copy.   City permits to be billed at cost on final invoice. Pricing Contingent upon access/survey etc.,survey/pattern face requested / partial survey done 5/18,Survey needed,2026-04-14,2026-06-04,,2026-06-05,2026-06-08,GREGORY,20252,ORDERED,WK,WK,3102.32,No,Outsourced,,,,X,
J36975 / VEE LLC - Hart Shopping Center,Complete to Admin,Completed,,WK,DP,South Hutchinson,"New SF/II Economy Cabinet Furnish and install (1) 36"" x 10' economy-style LED internally illuminated wall sign cabinet on fascia of Hart Shopping Center (511 address - centered above door/windows on upper fascia). Cabinet and retainers painted black. The new tenant is having their face produced on another job order. Customer is responsible for needed electrical service to sign.  Sign permit costs to be added onto final invoice. *Will need to block off parking spaces/go early",,Survey needed,2026-04-14,2026-06-02,,2026-06-03,2026-06-04,,,,WK,WK,3298.34,No,,,X,X,,
J36842 / First Dental,Complete to Admin,Completed,,WK,NH,Dodge City,"re-face existing D/F I/I cabinet SIGN RE-FACE (NEW LOGO): Furnish and install (2) flat polycarbonate faces with translucent digitally-printed vinyl graphics/UV laminate, to fit the exiting 6'h x 8'w double-face, internally-illuminated ID cabinet. Remove and dispose of the existing faces. Slide the new ones into place. *IF ANY LIGHTING SERVICE IS NEEDED, LUMINEO CAN PROVIDE ON AN ADDITIONAL ""TIME & MATERIALS"" BASIS. *Survey Details; Trim size = 71 5/16"" x 95 11/16"" x 3/16"", with a 3/4""x3/4"" hang bar on the back side (2nd-surface, top edge). 2"" retainers.",,Survey needed,2026-04-16,2026-06-04,,2026-05-26,2026-05-27,MIRATEC,20032,RECEIVED,WK,WK,3858.98,No,Outsourced,,,,X,
J36747 / Central National Bank,Complete to Admin,Completed,,WK,VB,Great Bend,"At Central National Bank’s new location in Great Bend: 1) verify dimensions for new monument sign faces 2) after the previous business’ faces have been removed, repaint the cabinet frame and top PMS 288 blue 3) provide and install new white LED Kwik Stiks for internal illumination and power supplies 4) provide and install two new 5’ x 10’ routed sign faces for the Central National Bank logo, painted PMS 288 blue, with push-thru acrylic, overlaid with white vinyl 5) take completion photos Drawing VB-J36747",,,2026-04-17,2026-05-29,,2026-05-30,2026-06-04,,,,WK,WK,16885,No,Hutch,Routing Complete,X,X,X,
"J37277 / Weigand-Omega Management, Inc.",Complete to Admin,Complete Need Paperwork,,WK,TC,Wichita,"Large Directional Vinyl - Weigand-Omega Remove existing tenant copy and black background below ""North Entrance"" from south elevation of directional sign. Clean application surface thoroughly. Furnish and install one (1) new 42"" (H) x 34-1/2"" (W) 3M 7725-12 Black vinyl background. On top of the black background, furnish and install the following tenant copy in 3M 7725-10 White vinyl, reference design TC-J37277.  Cypress Imaging - MRI & CT Cypress Interventional Cypress Medical Spa Heartland Pathology Lab Total Wound Care",,Survey needed,2026-04-21,2026-06-09,,2026-06-05,2026-06-08,,,,WK,WK,829.89,No,Hutch,,,,,X
